Vds,Id,Vgs
0.0,0.19143650535006249,2
0.01,0.1958092308945739,2
0.01,0.47701191046570823,3
0.01,0.8216499209449003,4
0.02,0.19997489612188363,2
0.02,0.5791445275828953,3
0.02,1.0061224650123632,4
0.02,1.550077523319445,5
0.03,0.20389877315192,2
0.03,0.7031191404729977,3
0.03,1.2277952462436552,4
0.03,1.8494755465231978,5
0.04,0.20754613410461137,2
0.04,0.8449348219891989,3
0.04,1.4808442615134965,4
0.04,2.1589282601634725,5
0.05,0.2108822510998859,2
0.05,1.000590644984682,3
0.05,1.7594455076966065,4
0.05,2.477718677916056,5
0.06,0.21387239625767202,2
0.06,1.1660856823126295,3
0.06,2.0577749816677047,4
0.06,2.805129813456734,5
0.07,0.21648184169789797,2
0.07,1.337419006826222,3
0.07,2.3700086803015057,4
0.07,3.140444680461293,5
0.08,0.21867585954049112,2
0.08,1.5071388790831142,3
0.08,2.6820251067604417,4
0.08,3.48294629260552,5
0.09,0.2217722421378514,2
0.09,1.6737893725160147,3
0.09,2.9931406372469773,4
0.09,3.8319176635652,5
0.1,0.22174535603715073,2
0.1,1.829984630955423,3
0.1,3.3119541697292396,4
0.1,4.18664180701612,5
0.11,0.21999999999999903,2
0.11,1.984028325912977,3
0.11,3.628606012848321,4
0.11,4.546401736634068,5
0.12,0.2200425696594418,2
0.12,2.140196601126684,3
0.12,3.9418905027186346,4
0.12,4.910480466094761,5
0.13,0.21812693498451916,2
0.13,2.297561541844655,3
0.13,4.258972058915871,4
0.13,5.281954289634995,5
0.14,0.21876547987616002,2
0.14,2.4437664919981223,3
0.14,4.559912611260813,4
0.14,5.650367348243382,5
0.15,0.22080882352941084,2
0.15,2.589377035543886,3
0.15,4.858869049647584,4
0.15,6.020830509888192,5
0.16,0.2240015479876151,2
0.16,2.7307611215806653,3
0.16,5.157155352666556,4
0.16,6.393108259704007,5
0.17,0.22808823529411665,2
0.17,2.8719789975130716,3
0.17,5.448645065440221,4
0.17,6.76840707853538,5
0.18,0.2328134674922591,2
0.18,3.016168634547215,3
0.18,5.751002036938205,4
0.18,7.137622298203366,5
0.19,0.23792182662538597,2
0.19,3.1556557208100444,3
0.19,6.047687922808132,4
0.19,7.507442789807099,5
0.2,0.24315789473684107,2
0.2,3.288159484987844,3
0.2,6.33073132491838,4
0.2,7.88754470249981,5
0.21,0.24826625386996798,2
0.21,3.4203813518429826,3
0.21,6.615375405685386,4
0.21,8.267001331981703,5
0.22,0.25299148606811034,2
0.22,3.545996107153599,3
0.22,6.895348841802136,4
